budget,Genre Code,Genre_Name,Popularity,Production Company,Production Country,release_date,revenue,runtime,title,vote_average,vote_count
90000000,18,Drama,8.18, Universal Pictures, Ireland,6/30/1995,113493481,96,Judge Dredd,5.4,643
1500000,133,ThrillerCrime,4.88, PropagCanada Films, USA,7/28/1995,7412216,91,Kids,6.8,280
500000,108,ActionCrime,10.06, Live Entertainment, USA,1/20/1995,1148752,89,Living in Oblivion,7.2,64
6000000,40,ActionAdventure,8.26, Silver Pictures, USA,10/20/1995,2122561,94,Mallrats,6.8,400
15000000,53,ComedyDrama,7.02, Twentieth Century Fox Film Corporation, USA,6/30/1995,66000000,92,Mighty Morphin Power Rangers: The Movie,5.2,153
22000000,18,Drama,13.3, TriStar Pictures, USA,7/28/1995,110627965,114,The Net,5.6,359
150000,10767,DramaRomance,1.17, Columbia Pictures, USA,6/9/1995,472370,94,Party Girl,5.8,14
50000000,40,ActionAdventure,6.75, Orion Pictures, USA,10/13/1995,10382407,135,The Srlet Letter,5.5,111
45000000,108,ActionCrime,17.5, Working Title Films, USA,9/22/1995,20350754,128,Showgirls,4.9,261
7000000,10767,DramaRomance,5.55, Ruby in Paradise, USA,6/9/1995,8349430,112,Smoke,7.2,115
35000000,54,DramaHistory,13.49, Universal Pictures, USA,7/7/1995,113374103,108,Species,5.5,457
42000000,26,AdventureFantasy,11.22, Universal Pictures, USA,10/13/1995,7959291,145,Strange Days,6.8,334
14000000,71,DramaThriller,1.82, Paramount Pictures, USA,9/8/1995,5780000,99,The Tie That Binds,4.6,9
60000000,40,ActionAdventure,7.49, New Line Cinema, USA,7/13/1995,104324083,100,Under Siege 2: Dark Territory,5.6,217
20000000,40,ActionAdventure,9.72, Walt Disney Pictures, USA,8/11/1995,50012507,103,A Walk in the Clouds,6.5,168
175000000,40,ActionAdventure,16.89, Hollywood Pictures, USA,7/28/1995,264218220,135,Waterworld,5.9,1017
2800000,10767,AnimationFamily,2.49, Walt Disney Pictures, USA,5/1/1994,2616503,135,Burnt by the Sun,6.7,35
2500000,30,AdventureDrama,11.3, Tig Productions, USA,1/27/1995,5535405,105,Before Sunrise,7.7,984
10000000,42,FantasyAction,6.64, PolyGram Filmed Entertainment, USA,2/10/1995,26488734,89,Billy Madison,6.2,464
21000000,30,FantasyAnimation,3.03, Walt Disney Productions, USA,2/3/1995,23450000,115,Boys on the Side,6.3,48
25000000,98,CrimeDrama,7.44, PolyGram Filmed Entertainment, USA,10/1/1994,22200000,97,Don Juan DeMarco,6.3,184
55000000,80,HorrorThriller,11.81, Miramax Films, USA,12/9/1994,214015089,123,Disclosure,5.9,217
16000000,14,Fantasy,9.84, Universal Pictures, USA,12/16/1994,247275374,107,Dumb and Dumber,6.5,1894
18000000,878,Science Fiction,11.72, Paramount Pictures, USA,9/27/1994,5887457,127,Ed Wood,7.3,639
700000,53,DramaComedy,9.48, Hawk Films, USA,9/12/1994,7830611,171,Hoop Dreams,7.7,91
5000000,40,AdventureAction,9.44, Paramount Pictures, Australia,9/2/1994,3049135,99,Heavenly Creatures,6.9,299
10500000,71,DramaThriller,2.69, Columbia Pictures, USA,1/6/1995,26325256,113,Houseguest,6,17
60000000,34,DramaAnimation,11.97, Walt Disney Pictures, USA,11/11/1994,223664608,123,Interview with the Vampire,7.2,1558
14000000,53,ComedyDrama,1.6, Columbia Pictures Corporation, USA,3/31/1995,2474000,139,Jefferson in Paris,5.2,10
60000000,46,ActionDrama,6.71, Kopelson Entertainment,Canada ,11/22/1994,37000000,109,Junior,4.7,381
11000000,9666,DramaMystery,42.15, stle Rock Entertainment, USA,5/25/1977,775398007,121,Star Wars,8.1,6778
30000000,35,Comedy,12.2, Scott Rudin Productions, USA,12/16/1994,160638883,133,Legends of the Fall,7.2,636
17000000,42,ActionFantasy,7.7, Miramax Films, USA,3/17/1995,7603766,106,Losing Isaiah,6.4,28
45000000,53,ComedyDrama,14.29, stle Rock Entertainment, USA,11/4/1994,112006296,123,Mary Shelley's Frankenstein,6.1,272
31000000,9675,HorrorMystery,5.93, Paramount Pictures,Japan ,12/23/1994,106683817,112,Nell,6.1,128
34000000,53,ComedyDrama,11.23, Paramount Pictures, USA,8/25/1994,50282766,119,Natural Born Killers,6.9,927
50000000,9701,MysteryThriller,13.68, Metro-Goldwyn-Mayer (MGM), USA,3/10/1995,189859560,127,Outbreak,6.4,522
16000000,53,ComedyDrama,20.48, United Artists, USA,9/14/1994,45284974,110,Leon: The Professional,8.2,4293
11000000,10784,ComedyRomance,1.43, The Mirisch Corporation, USA,5/12/1995,2832826,113,The Perez Family,6.6,9
8000000,10767,DramaRomance,140.95, Warner Bros., USA,9/10/1994,213928762,154,Pulp Fiction,8.3,8670
400000,10769,DramaFamily,1.64, Warner Bros., USA,2/1/1992,152322,105,Pushing Hands,6.1,9
32000000,18,Drama,7.55, Paramount Pictures, USA,2/9/1995,18552460,107,The Quick and the Dead,6.2,431
22000000,9666,MysteryDrama,3.4, RKO Radio Pictures, USA,3/1/1995,12400000,108,Roommates,6.4,7
15000000,878,Science Fiction,6.26, Stanley Kubrick Productions, USA,12/23/1994,11300653,133,Prêt-à-Porter,5.3,33
35000000,40,ActionAdventure,8.91, Warner Bros., USA,11/18/1994,9771658,89,The Swan Princess,6.5,251
45000000,10437,ComedyMusic,10.39, RKO Radio Pictures, USA,10/7/1994,170362582,110,The Specialist,5.5,317
55000000,46,ActionDrama,13.33, Warner Bros., USA,10/27/1994,196567262,121,Stargate,6.8,942
22000000,115,ComedyCrime,9.67, Metro-Goldwyn-Mayer (MGM), USA,11/10/1994,189833357,97,The Santa Clause,6.3,501
25000000,47,AdventureComedy,51.65, Michael Todd Company, USA,9/23/1994,28341469,142,The Shawshank Redemption,8.5,8358
25000000,108,ActionCrime,7.6, New Line Cinema, USA,3/31/1995,4064495,98,Tank Girl,5.5,140
38000000,115,ComedyCrime,8.11, Tinderbox Films, USA,11/17/1994,120000000,118,Star Trek: Generations,6.4,461
6000000,71,DramaThriller,2.86, Columbia Pictures, USA,5/24/1995,12000000,98,Tales from the Hood,5.4,33
11000000,10786,ComedyFamily,10.39, Walt Disney Productions, USA,12/17/1993,10032765,118,What's Eating Gilbert Grape,7.5,943
30000000,10767,AnimationFamily,5.19, RKO Radio Pictures, USA,8/4/1995,24048000,106,Virtuosity,5.4,163
17000000,26,AdventureFantasy,15.78, Walt Disney Productions, USA,4/21/1995,182057016,103,While You Were Sleeping,6.5,340
3000000,10769,DramaFamily,5.25, Twentieth Century Fox Film Corporation, USA,9/29/1994,15119639,106,Muriel's Wedding,6.9,104
15000000,80,HorrorThriller,11.25, New Line Cinema,Japan ,2/4/1994,107217396,86,Ace Ventura: Pet Detective,6.4,1684
5000000,108,CrimeAction,11.3, New Line Cinema, USA,9/2/1992,1862805,139,Bitter Moon,7,115
62000000,18,Drama,7.51, Columbia Pictures, USA,8/3/1994,215887717,141,Clear and Present Danger,6.4,390
45000000,81,ActionThriller,15.26, Hollywood Pictures, USA,7/20/1994,117615211,119,The Client,6.4,287
15000000,10784,ComedyRomance,15.8, Miramax Films, USA,5/11/1994,94000000,102,The Crow,7.3,980
46000000,10765,FamilyFantasy,15.02, Paramount Pictures, USA,5/26/1994,341631208,91,The Flintstones,5,559
55000000,10784,ComedyRomance,48.31, Rollins-Joffe Productions, USA,7/6/1994,677945399,142,Forrest Gump,8.2,8147
6000000,35,Comedy,8.99, United Artists, USA,3/9/1994,254700832,117,Four Weddings and a Funeral,6.6,654
45000000,47,AdventureComedy,3.57, Warner Bros., USA,6/29/1994,61947267,123,I Love Trouble,5.3,41
45000000,133,CrimeThriller,21.61, Live Entertainment, USA,6/23/1994,788241776,89,The Lion King,8,5520
35000000,10770,DramaWar,5.68, Orion Pictures, USA,12/1/1993,4858139,140,Little Buddha,6,76
14000000,35,Comedy,9.86, Gladden Entertainment, USA,10/13/1994,18090181,112,New Nightmare,6.4,297
23000000,9701,ThrillerMystery,14.13, TriStar Pictures, USA,7/29/1994,351583407,101,The Mask,6.6,2550
30000000,98,CrimeDrama,10.59, New Line Cinema, USA,3/18/1994,51132598,83,The Naked Gun 33⅓: The Final Insult,6.4,535
11500000,878,Science Fiction,6.51, Universal Pictures, USA,2/18/1994,20079850,99,Reality Bites,6.5,180
8000000,12,Adventure,5.14, Paramount Pictures, USA,7/8/1993,2000000,98,Red Rock West,6.4,71
30000000,18,Drama,10.86, Sony Pictures, USA,6/9/1994,350448145,116,Speed,6.8,1814
27000000,49,ComedyFantasy,8.91, PolyGram Filmed Entertainment, USA,9/15/1994,101646581,99,Timecop,5.5,288
115000000,40,AdventureAction,11.4, Twentieth Century Fox Film Corporation, USA,7/14/1994,378882411,141,True Lies,6.8,1138
63000000,45,DramaHorror,9.28, AVCO Embassy Pictures, USA,6/24/1994,25052000,191,Wyatt Earp,6.5,203
10000000,10767,DramaRomance,3.02, Miramax Films, USA,11/23/1994,29392418,100,A Low Down Dirty Shame,6,31
7000000,18,Drama,0.91, United Artists, USA,9/28/1994,20851521,119,Jason's Lyric,5.9,9
35000000,10763,AdventureFamily,13.58, Act III Communitions, USA,12/22/1994,99423521,102,Street Fighter,4.1,330
26000000,98,DramaCrime,6.87, Winkler Films, USA,11/29/1994,36800000,99,Highlander: The Final Dimension,4.5,110
8000000,46,ActionDrama,8.5, Nippon Herald Films,Japan ,12/12/1994,8946600,95,In the Mouth of Madness,7.1,307
34000000,54,DramaHistory,8.01, Warner Bros., USA,9/17/1993,32255440,139,The Age of Innocence,7,172
17080000,53,ComedyDrama,1.9, United Artists, USA,1/7/1994,21011500,107,The Air Up There,5.1,42
50000000,10752,War,11.79, TriStar Pictures, USA,5/24/1994,119208989,104,Beverly Hills Cop III,5.5,445
13000000,98,CrimeDrama,6.56, Paramount Pictures, USA,6/9/1993,428868,87,Body Snatchers,5.8,102
22000000,80,HorrorThriller,6.12, Hawk Films, USA,9/14/1993,17287898,121,A Bronx Tale,7.4,447
13000000,62,HorrorComedy,1.32, Renaissance Films, USA,9/3/1993,2570145,90,lendar Girl,3.7,10
30000000,30,AdventureDrama,8.7, United Artists, USA,11/10/1993,36516012,144,rlito's Way,7.7,805
70000000,37,Western,9.83, Malpaso Productions, USA,5/28/1993,255000211,112,Cliffhanger,6.1,600
40000000,47,AdventureComedy,14.23, Universal Pictures, USA,8/19/1994,19726050,121,Color of Night,5.4,117
6900000,98,CrimeDrama,6.87, Warner Bros., USA,9/24/1993,7993039,102,Dazed and Confused,7.4,588
57000000,913,ComedyScience Fiction,11.63, Twentieth Century Fox Film Corporation, USA,10/8/1993,159055768,115,Demolition Man,6.4,1018
30000000,10402,Music,8.47, Goldcrest Films International,United Kingdom,10/1/1993,11146270,94,For Love or Money,5.7,77
42000000,10770,WarDrama,9.68, Goldcrest Films International,United Kingdom,6/30/1993,270248367,154,The Firm,6.6,513
20000000,890,AdventureScience Fiction,5.99, Metro-Goldwyn-Mayer (MGM), USA,7/16/1993,153698625,112,Free Willy,6,429
44000000,18,Drama,10.09, Channel Four Films,United Kingdom,8/6/1993,368875760,130,The Fugitive,7.2,1240
35000000,10784,ComedyRomance,4.65, stle Rock Entertainment, USA,12/10/1993,18635620,115,Geronimo: An American Legend,5.9,44
18000000,133,CrimeThriller,7.83, Universal Pictures, USA,8/20/1993,74189677,97,Hard Target,6.1,237
25000000,27,Horror,13.48, New Line Cinema, USA,5/21/1993,133752825,86,Hot Shots! Part Deux,6.2,463
40000000,81,ActionThriller,12.64, Twentieth Century Fox Film Corporation, USA,7/8/1993,176997168,128,In the Line of Fire,6.8,392
13000000,878,Science Fiction,7.41, Paramount Pictures, USA,12/12/1993,65796862,133,In the Name of the Father,7.6,363
63000000,878,Science Fiction,8.86, Paramount Pictures, USA,6/11/1993,920100000,127,Jurassic Park,7.6,4956
9000000,42,ActionFantasy,8.43, PolyGram Filmed Entertainment, USA,9/1/1993,2395231,117,Kalifornia,6.5,209
1500000,108,CrimeAction,4.95, Twentieth Century Fox Film Corporation, USA,10/1/1993,418961,96,Killing Zoe,6.1,111
85000000,81,ActionThriller,9.43, Twentieth Century Fox Film Corporation, USA,6/18/1993,137298489,130,Last Action Hero,6.1,725
13500000,53,ComedyDrama,8.94, Gracie Films, USA,8/18/1993,11285588,104,Manhattan Murder Mystery,7.1,169
3500000,115,ComedyCrime,5.26, Twentieth Century Fox Film Corporation, USA,5/26/1993,27900000,97,Menace II Society,7.2,179
55000000,18,Drama,13.11, Miramax Films, USA,3/15/1996,121969216,133,Executive Decision,5.8,261
25000000,40,ActionAdventure,11.17, Universal Pictures, USA,11/24/1993,441286195,125,Mrs. Doubtfire,7,1638
12000000,98,CrimeDrama,9.97, Columbia Pictures, USA,7/18/1994,15826984,107,The Next Karate Kid,4.8,202
20000000,71,DramaThriller,9.72, Ciby 2000, USA,4/29/1994,15340000,118,No Espe,6.1,86
30000000,54,DramaHistory,8.04, Mirabai Films, India,11/24/1993,135130999,138,A Perfect World,7.2,376
26000000,53,ComedyDrama,13.37, Paramount Pictures, USA,12/22/1993,206678440,125,Philadelphia,7.6,1019
7000000,81,ThrillerAction,7.44, Paramount Pictures, USA,5/19/1993,116700000,121,The Piano,7.1,290
14000000,35,Comedy,6.97, Imagine Entertainment, USA,7/23/1993,27515786,109,Poetic Justice,6.9,47
11000000,40,ActionAdventure,5.87, Twentieth Century Fox Film Corporation,Japan ,3/9/1994,11439193,97,The Ref,6.7,99
11500000,10767,DramaRomance,12.22, Icon Entertainment International, USA,11/5/1993,23237911,134,The Remains of the Day,7.5,213
40000000,39,AdventureHorror,4.99, Columbia Pictures Corporation, Brazil,6/3/1994,24332324,128,Renaissance Man,5.9,83
20000000,18,Drama,17.14, Fine Line Features, USA,7/28/1993,35739755,104,Robin Hood: Men in Tights,6.4,575
11500000,40,AdventureAction,9.8, Universal Pictures, USA,9/13/1993,3275585,100,Romeo Is Bleeding,5.7,36
800000,40,ActionAdventure,0.94, Twentieth Century Fox Film Corporation, USA,10/8/1993,1001437,114,Ruby in Paradise,5.6,10
12000000,108,ActionCrime,5.91, PolyGram Filmed Entertainment, USA,9/17/1993,22750363,114,Rudy,7.2,187
13000000,46,ActionDrama,5.31, ravan Pictures, USA,4/13/1994,7820688,95,Serial Mom,6.4,137
25000000,26,AdventureFantasy,7.88, Universal Pictures, USA,7/1/1994,48063435,108,The Shadow,5.4,140
21000000,46,ActionDrama,10.23, Silver Pictures, USA,6/24/1993,227799884,105,Sleepless in Seattle,6.5,630
40000000,878,Science Fiction,11.23, Quincy Jones-David Salzman Entertainment, USA,5/21/1993,116300000,108,Sliver,4.9,144
28000000,41,FantasyHorror,96.27, Miramax Films, USA,6/25/1982,33139618,117,Blade Runner,7.9,3833
20000000,71,DramaThriller,8.05, Icon Entertainment International, USA,7/30/1993,11585483,93,So I Married an Axe Murderer,6.1,131
48000000,30,AdventureDrama,7.2, TriStar Pictures, USA,5/28/1993,20915465,104,Super Mario Bros.,4,236
7400000,9666,DramaMystery,3.64, Paramount Pictures, USA,4/15/1994,7690013,96,Surviving the Game,6.1,53
50000000,27,Horror,8.01, Live Entertainment, USA,9/23/1994,16478900,102,Terminal Velocity,5,82
18000000,53,Thriller,17.73, Illusion Entertainment Group, USA,10/9/1993,75634409,76,The Nightmare Before Christmas,7.6,2135
30000000,18,Drama,6.35, Fox Searchlight Pictures, USA,11/11/1993,53898845,105,The Three Musketeers,6.2,219
25000000,53,ComedyDrama,11.34, Miramax Films, USA,12/25/1993,56505065,130,Tombstone,7.4,632
12500000,80,HorrorThriller,17.19, Columbia Pictures Corporation, USA,9/9/1993,12281551,120,True Romance,7.5,762
27000000,46,DramaAction,7.44, Touchstone Pictures, USA,11/23/1994,13670688,80,The Pagemaster,6.2,178
18000000,10786,ComedyFamily,0.7, DreamWorks, USA,11/9/1990,476684675,103,Home Alone,7.1,2487
22000000,9675,HorrorMystery,11.95, Miramax Films, USA,7/12/1990,505000000,127,Ghost,6.9,1381
28000000,18,Drama,16.36, Fine Line Features,Canada ,11/25/1992,504050219,90,Aladdin,7.4,3495
100000000,10767,DramaRomance,22.66, Paramount Pictures, USA,7/1/1991,520000000,137,Terminator 2: Judgment Day,7.7,4274
22000000,40,AdventureAction,11.65, Eon Productions, USA,11/9/1990,424208848,181,Dances with Wolves,7.6,1084
35000000,10767,DramaRomance,19.11, Wildwood Enterprises, USA,6/23/1989,411348924,126,Batman,7,2145
19000000,115,ComedyCrime,4.31, Miramax Films, USA,2/1/1991,272742922,119,The Silence of the Lambs,8.1,4549
1488423,18,Drama,16.26, Touchstone Pictures, USA,12/20/1937,184925486,83,Snow White and the Seven Dwarfs,6.9,1973
25000000,115,ComedyCrime,23.43, Gramercy Pictures, USA,11/13/1991,377350553,84,Beauty and the Beast,7.5,3029
2600000,53,ComedyDrama,14.2, Twentieth Century Fox Film Corporation, USA,2/23/1940,84300000,88,Pinocchio,6.9,1412
14000000,53,ComedyDrama,13.35, New Line Cinema, USA,3/23/1990,463000000,119,Pretty Woman,7,1807
6244087,53,Thriller,11.72, Paramount Pictures, Denmark,6/17/1969,638641,145,The Wild Bunch,7.7,266
7000000,10784,RomanceComedy,12.61, New Line Cinema, USA,4/5/1996,60611975,98,Fargo,7.7,2080
4000000,133,ThrillerCrime,5.26, The Rank Organisation, USA,3/8/1996,16675000,86,Hellraiser: Bloodline,4.9,111
4000000,53,ComedyDrama,9.83, Twentieth Century Fox Film Corporation, USA,12/23/1970,55675257,78,The Aristots,7.1,1287
30000000,46,ActionDrama,10.33, Paramount Pictures, USA,4/3/1996,102616183,129,Primal Fear,7.4,644
12000000,10767,AnimationFamily,4.41, Walt Disney Pictures, USA,3/22/1996,4939939,108,Girl 6,5.7,17
46000000,47,ComedyAdventure,11.6, Universal Pictures, USA,7/4/1996,100860818,117,Courage Under Fire,6.2,240
80000000,9666,MysteryDrama,15.79, Truth and Soul Pictures Inc, USA,5/22/1996,457696359,110,Mission: Impossible,6.7,2677
57000000,30,AdventureDrama,23.64, Metro-Goldwyn-Mayer (MGM), USA,5/31/1996,115267375,103,DragonHeart,6.4,553
38000000,10770,WarDrama,13.22, Columbia Pictures Corporation, USA,4/12/1996,28921264,79,James and the Giant Peach,6.2,375
13000000,98,CrimeDrama,1.3, United Artists, USA,4/3/1996,9789900,91,Faithful,4.8,4
80000000,18,Drama,11.05, Columbia Pictures, USA,11/15/1996,250200000,88,Space Jam,6.5,1335
9000000,54,DramaHistory,14.3, Twentieth Century Fox Film Corporation,United Kingdom,10/10/1968,2500000,98,Barbarella,5.7,149
25000000,80,HorrorThriller,9.19, Paramount Pictures, USA,4/19/1996,10070000,105,Mrs. Winterbourne,5.5,26
30000000,80,HorrorThriller,7.94, United Artists, USA,4/19/1996,57400547,95,The Quest,5.3,126
31000000,80,HorrorThriller,10.81, Metro-Goldwyn-Mayer (MGM), USA,11/18/1988,74151346,74,Oliver & Company,6.5,372
25530000,80,HorrorThriller,4.56, Warner Bros., USA,5/17/1996,20080020,95,Flipper,5.3,85
35000000,41,FantasyHorror,1.69, Amblin Entertainment, USA,9/20/1995,15000000,135,The Horseman on the Roof,6.7,25
15000000,40,ActionAdventure,12.86, Twentieth Century Fox Film Corporation, USA,5/3/1996,24769466,101,The Craft,6.3,388
4800000,9666,MysteryDrama,0.34, Fine Line Features, USA,5/10/1996,3014000,99,Original Gangstas,5.5,5
75000000,10767,DramaRomance,13.25, Pathé, USA,6/6/1996,335062621,136,The Rock,6.9,1474
92000000,54,DramaHistory,8.74, Paramount Pictures, USA,5/10/1996,494471524,113,Twister,6.1,966
25000000,10767,DramaRomance,6.5, Metro-Goldwyn-Mayer (MGM), USA,5/31/1996,14048372,115,The Arrival,6.1,200
1800000,98,CrimeDrama,9.8, De Laurentiis Entertainment Group (DEG), USA,1/29/1964,9440272,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1472
45000000,9662,FantasyMystery,8.08, Walt Disney Pictures, USA,6/6/1996,17300889,100,The Phantom,4.7,138
50000000,49,ComedyFantasy,11.34, Touchstone Pictures, USA,6/28/1996,113309743,115,Striptease,4.4,210
45000000,45,DramaHorror,6.29, Paramount Pictures,Japan ,8/9/1996,58620973,113,Jack,5.9,340
4000000,9728,CrimeMystery,19.35, Paramount Pictures,Canada ,2/23/1996,16491080,93,Trainspotting,7.8,2737
