budget,Genre,Language,popularity,release_date,revenue,runtime,title,vote_average,vote_count
200000000,Family,English,77.68,4/18/2013,1215439994,130,Iron Man 3,6.8,8806
200000000,Adventure,English,78.53,3/3/2010,1025491110,108,Alice in Wonderland,6.4,4645
210000000,Animation,English,3.86,5/24/2006,459359555,104,X-Men: The Last Stand,6.3,3525
200000000,Science,English,89.19,6/20/2013,743559607,104,Monsters University,7,3528
150000000,Science,English,21.94,6/19/2009,836297228,150,Transformers: Revenge of the Fallen,6,3138
210000000,Fantasy,English,116.84,6/25/2014,1091405097,165,Transformers: Age of Extinction,5.8,3095
200000000,Adventure,English,46.99,3/7/2013,491868548,130,Oz: The Great and Powerful,5.7,3530
200000000,Adventure,English,89.27,4/16/2014,705717432,142,The Amazing Spider-Man 2,6.5,4179
170000000,Animation,English,73.8,12/10/2010,400062763,125,TRON: Legacy,6.3,2841
200000000,Adventure,English,49.99,6/11/2011,559852396,106,Cars 2,5.8,2033
200000000,Animation,English,51.87,6/16/2011,219851172,114,Green Lantern,5.1,2487
200000000,Action,English,60,6/16/2010,1066969703,103,Toy Story 3,7.6,4597
200000000,Action,English,71.86,5/20/2009,371353001,115,Terminator Salvation,5.9,2463
190000000,Action,English,102.32,4/1/2015,1506249360,137,Furious 7,7.3,4176
200000000,Action,English,81.83,6/20/2013,531865000,116,World War Z,6.7,5560
250000000,Action,English,118.08,5/15/2014,747862775,131,X-Men: Days of Future Past,7.5,6032
190000000,Action,English,78.29,5/5/2013,467365246,132,Star Trek Into Darkness,7.4,4418
195000000,Drama,English,43.35,2/27/2013,197687603,114,Jack the Giant Slayer,5.5,2598
105000000,Adventure,English,61.2,5/10/2013,351040419,143,The Great Gatsby,7.3,3769
150000000,Action,English,62.17,5/19/2010,335154643,116,Prince of Persia: The Sands of Time,6.2,2317
180000000,Action,English,56.52,7/11/2013,407602906,131,Pacific Rim,6.7,4794
195000000,Adventure,English,28.53,6/28/2011,1123746996,154,Transformers: Dark of the Moon,6.1,3299
185000000,Adventure,English,75.67,5/21/2008,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,Animation,English,51.69,11/14/2015,331926147,93,The Good Dinosaur,6.6,1736
185000000,Action,English,125.11,6/21/2012,538983207,93,Brave,6.7,4641
185000000,Animation,English,65.35,7/7/2016,343471816,122,Star Trek Beyond,6.6,2568
180000000,Action,English,66.39,6/22/2008,521311860,98,WALL·E,7.8,6296
140000000,Action,English,22.57,8/8/2007,258022233,91,Rush Hour 3,6.1,783
200000000,Animation,English,45.27,10/10/2009,769653595,158,2012,5.6,4903
200000000,Science,English,39.74,11/4/2009,325233863,96,A Christmas Carol,6.6,1095
176000003,Action,English,85.37,2/4/2015,183987723,124,Jupiter Ascending,5.2,2768
180000000,Adventure,English,42.74,6/29/2016,356743061,109,The Legend of Tarzan,5.5,2430
180000000,Science,English,67.39,12/7/2005,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,Drama,English,139.27,5/18/2016,543934787,144,X-Men: Apocalypse,6.4,4721
185000000,Animation,English,187.32,7/16/2008,1004558444,152,The Dark Knight,8.2,12002
175000000,Animation,English,92.2,5/13/2009,735099082,96,Up,7.7,6870
175000000,Action,English,36.17,3/19/2009,381509870,94,Monsters vs Aliens,6,1423
140000000,Adventure,English,120.73,4/30/2008,585174222,126,Iron Man,7.4,8776
170000000,Action,English,32.32,11/22/2011,185770160,126,Hugo,7,2141
170000000,Adventure,English,40.75,6/29/1999,222104681,106,Wild Wild West,5.1,1020
145000000,Action,English,60.03,7/1/2008,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,Fantasy,English,90.24,8/2/2016,745000000,123,Suicide Squad,5.9,7458
175000000,Action,English,27.08,6/9/2007,173000000,96,Evan Almighty,5.3,1151
178000000,Adventure,English,79.46,5/27/2014,370541256,113,Edge of Tomorrow,7.6,4858
175000000,Adventure,English,44.64,7/28/1995,264218220,135,Waterworld,5.9,992
175000000,Drama,English,32.85,8/4/2009,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962
175000000,Family,English,128.66,6/9/2015,857611174,94,Inside Out,8,6560
175000000,Adventure,English,94.2,4/7/2016,966550600,106,The Jungle Book,6.7,2892
200000000,Adventure,English,77.3,4/28/2010,623933331,124,Iron Man 2,6.6,6849
170000000,Fantasy,English,77.18,5/30/2012,396600000,127,Snow White and the Huntsman,5.8,3118
180000000,Science,English,110.62,5/28/2014,758539785,97,Maleficent,7,4496
170000000,Action,English,243.79,6/26/2014,710644566,130,Dawn of the Planet of the Apes,7.3,4410
27000000,Drama,English,2.42,2/13/2015,0,109,The Lovers,4.8,34
175000000,Action,English,41.8,12/6/2013,150962475,119,47 Ronin,5.9,1326
170000000,Comedy,English,72.23,3/20/2014,714766572,136,Captain America: The Winter Soldier,7.6,5764
165000000,Adventure,English,44.04,5/16/2010,752600867,93,Shrek Forever After,6,1959
190000000,Adventure,English,130.31,5/19/2015,209154322,130,Tomorrowland,6.2,2846
165000000,Family,English,203.73,10/24/2014,652105443,102,Big Hero 6,7.8,6135
165000000,Adventure,English,62.34,11/1/2012,471222889,108,Wreck-It Ralph,7.1,4570
165000000,Action,English,47.32,11/10/2004,305875730,100,The Polar Express,6.4,1474
165000000,Fantasy,English,48.78,6/22/2016,389681935,120,Independence Day: Resurgence,4.9,2491
165000000,Action,English,67.26,3/5/2010,494878759,98,How to Train Your Dragon,7.5,4227
200000000,Action,English,69.41,7/2/2003,435000000,109,Terminator 3: Rise of the Machines,5.9,2143
170000000,Adventure,English,481.1,7/30/2014,773328629,121,Guardians of the Galaxy,7.9,9742
165000000,Action,English,724.25,11/5/2014,675120017,169,Interstellar,8.1,10867
160000000,Action,English,167.58,7/14/2010,825532764,148,Inception,8.1,13752
15000000,Adventure,Japanese,9.48,7/29/2016,77000000,120,Shin Godzilla,6.5,143
250000000,Action,English,108.85,11/26/2012,1021103568,169,The Hobbit: An Unexpected Journey,7,8297
38000000,Fantasy,English,6.91,6/22/2001,207283925,106,The Fast and the Furious,6.6,3428
150000000,Action,English,60.27,11/24/2008,333932083,166,The Curious Case of Benjamin Button,7.3,3292
160000000,Action,English,3.2,5/24/2011,353624124,132,X-Men: First Class,7.1,5181
160000000,Fantasy,English,127.28,11/18/2015,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,Adventure,English,35.58,7/13/2010,215283742,109,The Sorcerer's Apprentice,5.8,1470
160000000,Fantasy,English,21.13,5/12/2006,181674817,99,Poseidon,5.5,583
170000000,Fantasy,English,56.27,5/25/2016,299370084,113,Alice Through the Looking Glass,6.5,1725
160000000,Adventure,English,42.99,5/17/2007,798958165,93,Shrek the Third,6,2278
160000000,Science,English,63.15,5/25/2016,433677183,123,Warcraft,6.3,2268
155000000,Adventure,English,202.04,6/23/2015,440603537,126,Terminator Genisys,5.8,3631
155000000,History,English,49.66,8/13/2010,415686217,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,Adventure,English,34.21,5/21/2001,449220945,183,Pearl Harbor,6.6,1791
150000000,War,English,25.47,6/27/2007,709709780,144,Transformers,6.6,4040
155000000,Adventure,English,39.02,11/21/2004,167298192,175,Alexander,5.6,927
150000000,Adventure,English,78.14,6/28/2007,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,Fantasy,English,101.25,11/5/2005,895921036,157,Harry Potter and the Goblet of Fire,7.5,5608
150000000,Drama,English,56.76,7/1/2008,624029371,92,Hancock,6.2,2961
150000000,Adventure,English,70.87,12/14/2007,585349010,101,I Am Legend,6.9,4853
150000000,Animation,English,53.91,7/13/2005,474968763,115,Charlie and the Chocolate Factory,6.7,3624
150000000,Action,English,65.68,6/22/2007,623722818,111,Ratatouille,7.5,4369
150000000,Family,English,115.04,6/10/2005,374218673,140,Batman Begins,7.5,7359
150000000,Adventure,English,44.14,10/30/2008,603900354,89,Madagascar: Escape 2 Africa,6.2,1810
150000000,Adventure,English,81.78,5/20/2009,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,Adventure,English,5.95,4/28/2009,373062864,107,X-Men Origins: Wolverine,6.2,4021
150000000,Animation,English,73.31,11/5/2003,424988211,129,The Matrix Revolutions,6.4,3096
150000000,Adventure,English,165.13,11/27/2013,1274219009,102,Frozen,7.3,5295
150000000,Adventure,English,70.79,5/15/2003,738599701,138,The Matrix Reloaded,6.7,3443
170000000,Action,English,99.5,10/29/2013,644571402,112,Thor: The Dark World,6.8,4755
150000000,Thriller,English,434.28,5/13/2015,378858340,120,Mad Max: Fury Road,7.2,9427
150000000,Adventure,English,67.45,5/13/2009,356613439,138,Angels & Demons,6.5,2129
150000000,Animation,English,86.49,4/21/2011,449326618,115,Thor,6.6,6525
150000000,Fantasy,English,41.85,11/21/2008,309979994,98,Bolt,6.3,1750
150000000,Adventure,English,26.71,7/21/2009,292817841,88,G-Force,5.1,510
150000000,Comedy,English,44.93,3/27/2012,301000000,99,Wrath of the Titans,5.5,1431
150000000,Action,English,50.31,5/8/2012,245527149,113,Dark Shadows,5.7,2320
150000000,Drama,English,114.52,7/23/2015,682330139,131,Mission: Impossible - Rogue Nation,7.1,3224
150000000,Family,English,21.21,2/11/2010,0,102,The Wolfman,5.5,549
150000000,Animation,English,29.33,10/28/2007,287594577,91,Bee Movie,5.7,1171
150000000,Action,English,51.25,5/25/2011,665692281,91,Kung Fu Panda 2,6.7,1880
150000000,Adventure,English,33.77,6/30/2010,318502923,103,The Last Airbender,4.7,1151
150000000,Action,English,63.08,5/3/2006,397850012,126,Mission: Impossible III,6.5,2028
150000000,Adventure,English,39,6/27/2013,205366737,131,White House Down,6.4,1891
150000000,Adventure,English,12.36,3/9/2011,38992758,88,Mars Needs Moms,5.5,199
149000000,Adventure,English,22.55,10/22/2006,64459316,85,Flushed Away,6,874
150000000,Animation,English,48.04,9/24/2015,128388320,111,Pan,5.9,954
145000000,Adventure,English,38.73,2/7/2014,272912430,92,Mr. Peabody & Sherman,6.7,843
175000000,Animation,English,66.8,5/13/2004,497409852,163,Troy,6.9,2759
145000000,Adventure,English,44.99,6/6/2012,746921274,93,Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,Action,English,54.16,11/17/2002,431971116,133,Die Another Day,5.8,1092
144000000,Action,English,66.22,7/14/2016,229147509,116,Ghostbusters,5.3,2142
140000000,Action,English,58.49,7/1/1998,553799566,151,Armageddon,6.4,2482
140000000,Adventure,English,91.33,7/3/2002,441818803,88,Men in Black II,6,3114
70000000,Action,English,35.6,11/5/2007,195735876,115,Beowulf,5.5,841
145000000,Action,English,56.75,1/23/2016,521170825,95,Kung Fu Panda 3,6.7,1603
145000000,Fantasy,English,77.77,12/7/2011,694713380,133,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,Comedy,English,61.79,11/21/2012,306941670,97,Rise of the Guardians,7.1,1922
100000000,Drama,English,25.16,12/21/2005,202026112,90,Fun with Dick and Jane,5.9,627
140000000,Adventure,English,52.34,12/5/2003,456758981,154,The Last Samurai,7.3,1895
140000000,Science,English,101.6,12/3/2014,268031828,150,Exodus: Gods and Kings,5.6,1921
150000000,Fantasy,English,73.62,5/6/2009,385680446,127,Star Trek,7.4,4518
139000000,Fantasy,English,82.5,5/1/2002,821708551,121,Spider-Man,6.8,5265
145000000,Fantasy,English,100.21,6/12/2014,609123048,102,How to Train Your Dragon 2,7.6,3106
140000000,Action,English,56.26,2/25/2016,150680864,127,Gods of Egypt,5.3,1277
135000000,Action,English,17.89,7/28/2005,76932943,121,Stealth,4.9,331
130000000,Action,English,64.8,3/5/2009,185258983,163,Watchmen,7,2811
140000000,Drama,English,24.86,7/10/1998,285444603,127,Lethal Weapon 4,6.3,767
137000000,Adventure,English,34.98,6/19/2003,245360480,138,Hulk,5.3,1533
130000000,Action,English,59.33,3/26/2013,371876278,110,G.I. Joe: Retaliation,5.4,3025
130000000,Adventure,English,21.61,4/6/2005,119269486,124,Sahara,5.7,434
137000000,Action,English,26.07,7/2/2001,85131830,106,Final Fantasy: The Spirits Within,5.9,433
140000000,Adventure,English,74.51,7/22/2011,370569774,124,Captain America: The First Avenger,6.6,7047
135000000,Adventure,English,39.6,11/8/1999,361832400,128,The World Is Not Enough,6,862
150000000,Adventure,English,36.97,11/14/2003,212011111,138,Master and Commander: The Far Side of the World,6.9,790
120000000,Animation,English,99.69,11/13/2012,829000000,115,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,Science,English,17.77,11/17/2011,150406466,100,Happy Feet Two,5.8,373
150000000,Adventure,English,62.9,6/12/2008,163712074,114,The Incredible Hulk,6.1,3021
140000000,Western,English,44.19,6/1/2016,183345589,120,The BFG,6,1000
135000000,Animation,English,100.64,12/25/2015,532950503,156,The Revenant,7.3,6396
135000000,Animation,English,44.77,7/11/2013,282570682,96,Turbo,6.1,1074
135000000,Family,English,29.91,3/2/2011,245724603,107,Rango,6.6,2051
132000000,Action,English,84.37,11/22/2014,373552094,92,Penguins of Madagascar,6.5,1346
70000000,Adventure,English,45.38,8/3/2007,442824138,115,The Bourne Ultimatum,7.3,2888
130000000,Science,English,84.69,6/4/2008,631744560,90,Kung Fu Panda,6.9,3145
130000000,Adventure,English,120.09,7/14/2015,519311965,117,Ant-Man,7,5880
130000000,Fantasy,English,76.31,11/15/2013,847423452,146,The Hunger Games: Catching Fire,7.4,6495
135000000,Adventure,English,63.47,3/18/2015,368871007,94,Home,6.8,1519
132000000,Adventure,English,48.57,6/28/2005,591739379,116,War of the Worlds,6.2,2322
130000000,Action,English,38.07,7/18/2003,273339556,147,Bad Boys II,6.3,1564
130000000,Action,English,20.68,10/28/2011,554987477,90,Puss in Boots,6.4,451
110000000,Drama,English,48.83,7/21/2010,293329073,100,Salt,6.2,2093
125000000,Adventure,English,46.12,3/20/2014,362637473,139,Noah,5.6,2350
130000000,Adventure,English,89.94,10/25/2011,371940071,107,The Adventures of Tintin,6.7,2061
130000000,Drama,English,79.68,5/31/2004,789804554,141,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,Science,English,28.84,11/18/2008,49554002,165,Australia,6.3,694
130000000,Animation,English,42.84,5/30/2013,243843127,100,After Earth,5,2532
127500000,Adventure,English,26.55,5/19/2000,354248063,82,Dinosaur,6.2,542
127000000,Animation,English,115.6,12/17/2014,349424282,97,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,Adventure,English,68.76,10/28/2010,321887208,95,Megamind,6.7,1918
125000000,Fantasy,English,109.98,11/16/2001,976475550,152,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,Adventure,English,39.45,7/18/2013,61648500,96,R.I.P.D.,5.4,1260
140000000,Science,English,271.97,7/9/2003,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
125000000,Thriller,English,206.23,11/18/2014,752100229,123,The Hunger Games: Mockingjay - Part 1,6.6,5584
125000000,Animation,English,45.31,5/17/2006,767820459,149,The Da Vinci Code,6.5,2704
103000000,Adventure,English,42.4,3/19/2014,500188435,102,Rio 2,6.3,978
110000000,Action,English,2.87,4/24/2003,407711549,133,X2,6.8,3506
125000000,Adventure,English,7.26,4/20/2011,626137675,130,Fast Five,7.1,2438
125000000,Adventure,English,81.5,11/22/2011,334615000,129,Sherlock Holmes: A Game of Shadows,7,3886
125000000,Action,English,47.69,4/1/2010,232713139,106,Clash of the Titans,5.6,2233
65000000,Adventure,English,43.13,6/1/1990,261317921,113,Total Recall,7.1,1710
160000000,Action,English,27.22,8/27/1999,61698899,102,The 13th Warrior,6.4,510
130000000,Action,English,90.34,8/8/2012,276572938,120,The Bourne Legacy,6,2651
125000000,Family,English,50.07,6/20/1997,238207122,125,Batman & Robin,4.2,1418
123000000,Action,English,45.42,11/17/2000,345141403,104,How the Grinch Stole Christmas,6.2,1386
125000000,Adventure,English,41.38,5/26/2004,544272402,124,The Day After Tomorrow,6.2,2392
125000000,Drama,English,54.93,5/24/2000,546388105,123,Mission: Impossible II,5.9,1928
120000000,Adventure,English,25.75,3/15/2000,325756637,130,The Perfect Storm,6.2,597
130000000,Adventure,English,60.81,6/13/2007,289047763,92,Fantastic 4: Rise of the Silver Surfer,5.4,2589
120000000,Thriller,English,51.33,11/20/2012,609016565,127,Life of Pi,7.2,5797
110000000,Action,English,46.83,2/16/2007,228738393,114,Ghost Rider,5.2,1712
120000000,Action,English,62.64,7/27/2016,415484914,123,Jason Bourne,5.9,2341
120000000,Science,English,33.62,6/27/2003,259175788,106,Charlie's Angels: Full Throttle,5.2,914
130000000,Family,English,68.89,5/30/2012,403170142,124,Prometheus,6.3,5080
120000000,Science,English,27.99,7/19/2002,169956806,78,Stuart Little 2,5.4,613
115000000,Action,English,67.34,8/7/2013,286140700,109,Elysium,6.4,3439
105000000,Action,English,27.84,6/11/2004,115772733,119,The Chronicles of Riddick,6.3,1570
120000000,Action,English,66.76,1/30/2014,242688965,102,RoboCop,5.7,2342
120000000,Comedy,English,17.06,5/9/2008,93945766,135,Speed Racer,5.7,354
120000000,Action,English,11.14,12/17/2010,48668907,121,How Do You Know,4.9,223
117000000,Action,English,44.91,6/15/2010,261930431,109,Knight and Day,5.9,1547
120000000,Science,English,67.7,4/10/2013,286168572,124,Oblivion,6.4,4800
113000000,Adventure,English,44.11,5/17/2005,850000000,140,Star Wars: Episode III - Revenge of the Sith,7.1,4116
120000000,Animation,English,43.99,5/15/2002,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4,3992
115000000,Action,English,106.82,11/1/2001,562816256,92,"Monsters, Inc.",7.5,5996
120000000,Adventure,English,15.95,7/23/2013,415440673,126,The Wolverine,6.3,4053
115000000,Adventure,English,54.04,5/19/1999,924317558,136,Star Wars: Episode I - The Phantom Menace,6.3,4432
135000000,Fantasy,English,64.18,3/20/2013,585178928,98,The Croods,6.8,2399
97250400,Drama,French,20.34,1/13/2008,132900000,116,Asterix at the Olympic Games,5,471
115000000,Action,English,18.71,6/14/2002,77628265,134,Windtalkers,5.8,341
115000000,Science,English,60.47,4/6/2016,164602163,114,The Huntsman: Winter's War,6,1523
125000000,Science,English,143.35,8/7/2014,477200000,101,Teenage Mutant Ninja Turtles,5.8,2636
105000000,Action,English,110.15,9/27/2013,716392705,91,Gravity,7.3,5751
116000000,Fantasy,English,16.9,2/7/1997,178127760,108,Dante's Peak,5.7,428
135000000,Action,English,39.87,6/1/2016,245623848,112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
120000000,Action,English,38.13,8/5/2015,167977596,100,Fantastic Four,4.4,2278
110000000,Action,English,48.78,10/20/2006,574480841,108,Night at the Museum,6.3,2862
110000000,Adventure,English,100.41,5/27/2015,470490832,114,San Andreas,6,2968
110000000,Drama,English,42.89,12/11/1997,333011068,119,Tomorrow Never Dies,6,925
110000000,Thriller,English,23.66,6/28/2000,215294342,165,The Patriot,6.8,1099
110000000,Action,English,76.84,12/9/2004,362744280,125,Ocean's Twelve,6.4,2124
110000000,Adventure,English,44.64,6/7/2005,478207520,120,Mr. & Mrs. Smith,6.5,2965
110000000,Drama,English,103.72,3/18/2015,295238201,119,Insurgent,6.2,3829
116000000,Comedy,English,45.62,12/17/2004,102000000,170,The Aviator,7,1489
112000000,Action,English,22.85,12/25/2010,237382724,85,Gulliver's Travels,4.9,621
120000000,Action,English,31.7,1/12/2011,227817248,119,The Green Hornet,5.5,1251
110000000,Animation,English,71.51,3/5/2014,337580051,102,300: Rise of an Empire,6.1,2397
110000000,Animation,English,36.65,7/29/2011,563749323,103,The Smurfs,5.5,1179
110000000,Adventure,English,19.63,4/2/2004,103951461,76,Home on the Range,5.7,389
110000000,Action,English,86.11,3/9/2016,179246868,121,Allegiant,5.9,1998
110000000,Fantasy,English,37.2,9/28/2011,299268508,127,Real Steel,6.6,2692
105000000,Action,English,32.47,7/30/2013,347434178,105,The Smurfs 2,5.5,695
160000000,Science,English,23.34,6/13/1997,164508066,121,Speed 2: Cruise Control,4.1,434
110000000,Action,English,45.95,10/23/2013,125537191,114,Ender's Game,6.6,2303
110000000,Adventure,English,48.93,6/20/2007,383531464,128,Live Free or Die Hard,6.4,2089
93000000,Action,English,138.05,12/18/2001,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8,8705
110000000,Drama,English,22.64,6/16/2004,72178895,120,Around the World in 80 Days,5.7,672
107000000,Action,English,18.87,12/11/2001,87713825,157,Ali,6.7,447
120000000,Drama,English,95.91,7/15/2004,347234916,115,"I, Robot",6.7,3793
130000000,Animation,English,44.49,5/3/2005,211643158,144,Kingdom of Heaven,6.6,1157
133000000,Romance,English,30.48,12/17/1999,300135367,84,Stuart Little,5.8,959
105000000,Drama,English,62.48,12/8/2009,267045765,97,The Princess and the Frog,6.7,1247
108000000,Action,English,167.93,9/30/2015,630161890,141,The Martian,7.6,7268
126000000,Comedy,English,37.68,7/20/2005,162949164,136,The Island,6.5,1770
90000000,Action,English,1,4/27/2001,10372291,104,Town & Country,3.7,16
90000000,Action,English,53,6/9/2000,237202299,118,Gone in Sixty Seconds,6.1,1485
103000000,Action,English,95.3,5/1/2000,457640427,155,Gladiator,7.9,5439
102000000,Adventure,English,65.95,6/20/2002,358372926,145,Minority Report,7.1,2608
100000000,Adventure,English,132.4,11/13/2002,876688482,161,Harry Potter and the Chamber of Secrets,7.4,5815
150000000,Thriller,English,88.94,11/14/2006,599045960,144,Casino Royale,7.3,3855
100000000,Action,English,51.19,7/25/2001,362211740,119,Planet of the Apes,5.6,1243
100000000,History,English,101.74,7/1/1991,520000000,137,Terminator 2: Judgment Day,7.7,4185
80000000,Drama,English,33.69,7/1/2009,214104620,140,Public Enemies,6.5,1344
100000000,Action,English,42.36,11/2/2007,266465037,157,American Gangster,7.4,1502
115000000,Thriller,English,38.73,7/14/1994,378882411,141,True Lies,6.8,1116
100000000,Comedy,English,40.6,6/11/2009,150166126,106,The Taking of Pelham 1 2 3,6.2,954
100000000,Action,English,32.39,12/21/2010,310650585,98,Little Fockers,5.4,1060
100000000,Action,English,24.4,8/6/2010,170432927,107,The Other Guys,6.1,1383
100000000,Drama,English,24.51,6/21/1996,242295562,115,Eraser,5.6,543
100000000,Drama,English,82.12,12/25/2012,425368238,165,Django Unchained,7.8,10099
100000000,Adventure,English,46.73,6/21/1996,100138851,91,The Hunchback of Notre Dame,6.8,1129
100000000,Action,English,51.11,12/9/2000,169327687,78,The Emperor's New Groove,7.2,1490
100000000,Adventure,English,53.73,8/8/2012,312573423,103,The Expendables 2,6.1,2896
100000000,Fantasy,English,58.85,11/19/2004,347451894,131,National Treasure,6.4,1926
100000000,Family,English,30.86,12/14/2006,249288105,104,Eragon,4.9,967
100000000,Animation,English,31.59,10/16/2009,100086793,101,Where the Wild Things Are,6.4,572
100000000,Action,English,36.71,5/15/2013,268426634,102,Epic,6.4,1121
100000000,Action,English,41.43,12/8/2010,278731369,103,The Tourist,6,1699
100000000,Drama,English,20.65,11/24/1999,211989043,121,End of Days,5.5,482
100000000,Crime,English,52.79,12/7/2006,170877916,143,Blood Diamond,7.3,2281
100000000,Action,English,95.01,12/25/2013,392000694,180,The Wolf of Wall Street,7.9,6571
100000000,Adventure,English,48.21,5/31/1995,336529144,121,Batman Forever,5.2,1498
105000000,Drama,English,58.78,11/6/1997,121214377,129,Starship Troopers,6.7,1560
102000000,Animation,English,73.87,10/26/2012,130482868,172,Cloud Atlas,6.6,2977
80000000,Action,English,37.32,7/10/2010,140073390,97,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703
100000000,Action,English,32.27,7/22/2004,82102379,104,Catwoman,4.2,808
100000000,Adventure,English,76.84,7/23/2014,243400000,99,Hercules,5.6,1680
140000000,Adventure,English,38.92,11/26/2002,109578115,95,Treasure Planet,7.2,948
100000000,Action,English,19.39,6/5/2009,68688831,102,Land of the Lost,5.3,381
90000000,Action,English,61.03,8/4/2014,206172544,127,The Expendables 3,6.1,1795
105000000,Fantasy,English,33.51,12/3/2015,133718711,114,Point Break,5.5,783
84000000,Thriller,English,17.82,2/18/2005,0,94,Son of the Mask,3.6,338
100000000,Action,English,50.77,11/20/2015,93820758,122,In the Heart of the Sea,6.5,1276
100000000,War,English,12.09,8/15/2002,7103973,95,The Adventures of Pluto Nash,4.4,142
100000000,Animation,English,30.25,3/11/2010,94882889,115,Green Zone,6.4,717
99000000,Crime,English,34.31,11/5/2015,246233113,88,The Peanuts Movie,6.5,604
10000000,Adventure,English,3.09,9/8/1997,13835130,110,The Spanish Prisoner,7.1,73
98000000,Drama,English,41.86,4/28/2001,433013274,130,The Mummy Returns,6,2206
100000000,Drama,English,46.16,12/14/2002,193772504,167,Gangs of New York,7.1,1910
94000000,Animation,Chinese,12.52,12/15/2011,95311434,145,The Flowers of War,7.1,187
85000000,Action,English,23.23,6/8/2007,149044513,85,Surf's Up,5.9,601
90000000,Action,English,19.22,6/10/2004,102000000,93,The Stepford Wives,5.4,334
